rating,content,review_date
5,My ideal shoes forever,30 Ιαν 2022
5,This shoe is great it’s so good liking and get a lot of complements,26 Ιαν 2022
5,You can’t never go wrong with the Air Force 1. I should own stock in Nike with as much as I buy. Love the Nike App.,25 Ιαν 2022
5,"Beautiful shoes, they look nice on the leg. Difficult to access and get damaged quite quickly, not very durable product. They should be made of better materials. Overall, the shoes make a very positive impression.",22 Ιαν 2022
5,Great shoe! Regularly sold out for a reason!,22 Ιαν 2022
5,Overall great material and would definitely recommend these to a friend,20 Ιαν 2022
5,Comfortable and resistant shoes,19 Ιαν 2022
5,Classics!!,19 Ιαν 2022
4,"This shoe is absolutely amazing. I've been wearing these shoes for over a year now! This shoe is very durable and is very comfortable. I love this shoe, especially because it can go with a lot of different outfits and it looks good on basically everyone. They reason I gave it a 4 star, instead of a 5 star is because the shoes gets damaged over time. It is visual damage and can't really hide it because it's all white. Overall, love the shoe!",19 Ιαν 2022
5,Excellent communication. Fast delivery. Very quality products!,19 Ιαν 2022
5,I state that I've been behind this shoe since Christmas and wherever I looked for it it was always Sould out then one morning at 06:00 I found on the site that the 42 was available I immediately placed the order and today they finally arrived a day early I was worried because I wear a size 42 and a half from Adidas!!!! Worn and I can say they are perfect thanks Nike,18 Ιαν 2022
5,The shoe is very comfortable. My previous pair I wore for 7 years so I really like the durability of the shoe,18 Ιαν 2022
5,"The shoe is as I expected very beautiful and comfortable. I had already had an airforce in the past and I must say that the whole hasn't gotten worse, quite the contrary.",18 Ιαν 2022
5,Evergreen..very good looking love it 👌🏽👌🏽,18 Ιαν 2022
5,"Very well made, comfortable and goes with anything. Highly recommended.",17 Ιαν 2022
5,Beautiful and very comfortable.,17 Ιαν 2022
5,Shipped faster than I thought I’m always satisfied with Nike.com,17 Ιαν 2022
5,My grandson loves his shoes,17 Ιαν 2022
5,"GOOD PRODUCT, COMFORTABLE AND FASHIONABLE",16 Ιαν 2022
4,Easy to put on when your in a rush,15 Ιαν 2022
5,Excellent product and excellent sales service,15 Ιαν 2022
5,Perfect shoes..!!too clean!!,15 Ιαν 2022
5,Great,15 Ιαν 2022
5,"One of the best white sneakers ever, always works.",14 Ιαν 2022
5,"Beautiful as always, but unfortunately I find that something has changed, I don't know, maybe during production, I notice that the laces tend slightly to yellowish and are no longer as bright white as they once were, I find the materials slightly stiffer but less heavy, I don't know if that's a good thing or not.",13 Ιαν 2022
5,"As always, great shoe, great",13 Ιαν 2022
5,Comfortable and super trendy top !!,13 Ιαν 2022
5,order arrived in advance….everything perfect,12 Ιαν 2022
5,We love NIKE We love Air Forces.,12 Ιαν 2022
5,"Great shoe!!
A classic that never goes out of style. I am sure I will continue to buy this shoe 2 to 3 times a year for ever. Goes with everything",11 Ιαν 2022
5,Everything great 👍🏼 Super fast,11 Ιαν 2022
3,Burp burp burp burp burp burp burp slurp slurp slurp wiggle,11 Ιαν 2022
5,I love the classic AF1 and can style it with anything however availability is limited and try to keep new pairs in by going to a local store,10 Ιαν 2022
5,This shoe and the icon. Elegant sporty. Suitable for all situations.,10 Ιαν 2022
5,"Great customer service! Always putting us first as their number one priority! Love shopping online! Easy, smooth and always satisfying!
Love the shoes!",10 Ιαν 2022
5,Perfect,10 Ιαν 2022
5,Comfortable and beautiful,10 Ιαν 2022
5,they are not that durable but I like them,10 Ιαν 2022
5,Simply show,10 Ιαν 2022
5,Perfect!!!!!,10 Ιαν 2022
4,The shoes fit perfectly and are exactly what I expected,10 Ιαν 2022
5,The best shoe ever ever and Nike always excellent service both shipping and assistance,9 Ιαν 2022
5,W Shoe,9 Ιαν 2022
5,"The product arrived in perfect condition, correct size and delivered one day in advance of the expected date. I am satisfied and recommend the purchase.",9 Ιαν 2022
5,"Very good quality product, fast delivery",9 Ιαν 2022
5,No problems. Nice shopping experience. 👍,9 Ιαν 2022
5,Great product. It is the third time that we have taken up the same model because we have not found any better ones at the moment.,9 Ιαν 2022
5,Parfait,9 Ιαν 2022
5,Delivery was sooner than I expected. Shoes look great!!,8 Ιαν 2022
5,Always great to have a fresh pair of white air forces.,8 Ιαν 2022
5,"Bought online at Nike for my grandson for Christmas, only size 8UK available because so near to Christmas, he picked out the shoe and said that size would be ok. Arrived promptly, well packed of course to Nike standards and he was well pleased with the shoe and it fitted ok as he expected.",7 Ιαν 2022
5,Great shoe excellent service and shipping speed,7 Ιαν 2022
5,Top!!,6 Ιαν 2022
5,"These don’t get old, I’m happy to have them!!!",5 Ιαν 2022
5,"besides running half a size large, you can’t go wrong with forces. can literally wear them anywhere",5 Ιαν 2022
5,I recommend these shoes,5 Ιαν 2022
5,I really loved these airforce1,5 Ιαν 2022
5,Best shoe ever,5 Ιαν 2022
5,Very good seller and very good,4 Ιαν 2022
2,WHEN WILL THERE BE MORE SIZE 45????????,4 Ιαν 2022
5,The Air force 1 are the top and also the Nike service is really excellent.,4 Ιαν 2022
4,"I can only recommend this product, they are very comfortable and look very good, unfortunately only 4 stars because there was a small stain on my shoelaces and it arrived with a broken box.",4 Ιαν 2022
5,Great sneaker overall very comfortable very stylish can’t go wrong with all white forces.,4 Ιαν 2022
5,serves its purpose,4 Ιαν 2022
5,"He loves it , can be dressed up with jeans and nice white tee",4 Ιαν 2022
5,Delivery arrived 2 days after the order and well before the time indicated. Very satisfied.,4 Ιαν 2022
3,I'm already disappointed after 1 week I have creases on the shoes I won't buy again I Air Force 1 finished,4 Ιαν 2022
5,Great,3 Ιαν 2022
5,Good product. Comfortable. It was hard for me to find the size because it was out of stock,3 Ιαν 2022
5,Shipping was fast . Came in time before. My husband birthday!,3 Ιαν 2022
5,Bought these for my son. He’s been wearing this brand for years and really likes them.,3 Ιαν 2022
4,Heater larger than other brand but very comfortable. Regarding durability to see in a few months.,3 Ιαν 2022
4,Got this for my Foster son who has had one today and loved his old one which is now worn out so he was happy and this new one seems higher.,3 Ιαν 2022
4,"It's okay, it's more like a gift for my son who repeats the same model of how satisfied he was.",3 Ιαν 2022
5,Very pleased with the quality of the Air Force 1. Love the classic silhouette.,3 Ιαν 2022
5,"The shoes are an upcoming gift, we'll see if they're good for the one they're intended for or not, but of course I have to give the Nike courier service a 20. I had ordered them on another website and they had left me lying with the package without delivering after 20 days. Nike delivered it to me on January 8, and by surprise it arrived today!!!! They saved my Christmas :):)",3 Ιαν 2022
5,"I'm done with box stores in the mall, reason being they have a bunch of slick talking salesman telling you that a certain shoe is unavailable. I remembered that I had a Nike account and I was able to purchase the throwback shoes my grandson was looking for.",2 Ιαν 2022
5,"Beautiful, comfortable, arrived earlier than expected
My son extremely satisfied",2 Ιαν 2022
5,"Very comfortable and discreet shoes, my son loves them.",2 Ιαν 2022
3,The 44.5 very large gold size is my boyfriend's usual size.,2 Ιαν 2022
5,"Excellent shoes, fit with everything, very comfortable",2 Ιαν 2022
4,"So I'm not giving 5 stars just because the shoes arrived with a small scratch, which shouldn't be on a new shoe. For the rest, very fast delivery, fantastic shoes and great professionalism. Too bad the 5 stars.",1 Ιαν 2022
5,Very good pair but never available for sizes 39 to 47 for better,31 Δεκ 2021
5,Schmegedi schmegedi schmock s,29 Δεκ 2021
5,My children love these shoes. They are very durable.,29 Δεκ 2021
5,"I recommend, very fast delivery, size level, size very well, take your size",29 Δεκ 2021
5,Highly sought after Air Force 1'07 shoes. Super fast delivery!,29 Δεκ 2021
5,Looks great and feels good.,29 Δεκ 2021
5,"They are the only shoes in the world that you can wear without altering your style. Whether you dress casual or dressy, the Air Force 1 will always look good on everything. And less and less white ones are found 😢😢",29 Δεκ 2021
4,"I have about 6 or 7 pairs of Nikes all in size 42 (EU) and they all fit like a glove, even the air max 95s, that are generally a bit larger, fit perfectly in a size 42. So I've been waiting a couple of months to get these in a size 42 aswell and when they were finally back in stock I immediatley ordered them. They arrived today, 2 days ahead of original schedule btw, and they are just way to big.",28 Δεκ 2021
5,All whites never disappoint. Hubby loved for Christmas,27 Δεκ 2021
5,I’ve been looking for these for a long time and I finally found them online! Great shipping and product!,27 Δεκ 2021
5,Great Christmas gift. good quality and good shipping service not much to complain about.,27 Δεκ 2021
5,A classic to have. Fast and compliant delivery.,27 Δεκ 2021
5,"Beautiful shoes as always, and timely delivery.",27 Δεκ 2021
5,"Very cool, fashionable and comfortable and above all, they are solidly made, I recommend",26 Δεκ 2021
5,They were a Christmas present for my friend and he loves them. Came On time as well!,26 Δεκ 2021
5,Very comfortable working shoes,26 Δεκ 2021
5,"Punctual and precise delivery, shoes always within expectations",26 Δεκ 2021
5,very good pair of shoes and very fast delivery,26 Δεκ 2021
5,Very fast shipping and delivery.Updates on my order we’re awesome.,26 Δεκ 2021
5,As described,26 Δεκ 2021
5,Beautiful and arrived early.,26 Δεκ 2021
5,I've been buying these sneakers since when they first came out and will continue to buy them. Great quality and price.,25 Δεκ 2021
5,Very satisfied with my purchase. Order arrived sooner than expected! Christmas gift that had its place under the tree. I highly recommend.,25 Δεκ 2021
5,"The best shoe ever!!!
Fast delivery, everything is fine!!!",24 Δεκ 2021
5,Always on time easy return no hidden catch and respect the customer Thanks Nike.,24 Δεκ 2021
5,"Always beautiful and current, my children love them!",24 Δεκ 2021
5,Great classic sneaker . Super clean and fit nice!!,23 Δεκ 2021
5,"The shoes of the moment sell themselves, there's nothing more to add.",22 Δεκ 2021
5,"The sure value, I type my best styles with",22 Δεκ 2021
5,Love the Nike Air Force ones!Always a classic look and an excellent shoe all around!Easy to wipe clean leather is a HUGE plus!!,22 Δεκ 2021
5,Fantastic,21 Δεκ 2021
2,My regular size is 9.5 but in does shoes is big 9.5 we need show the difference with Air Force 1 and other shoes,21 Δεκ 2021
2,"Hello, I have been a Nike customer for a long time and everything has always worked, but this time the processing of the air force 1 was really very bad never again !!",20 Δεκ 2021
5,... Thanks for the quick delivery... This means PROFESSIONALISM... I will be a customer who will be heard with frequent orders... Thanks again,20 Δεκ 2021
5,"perfect , these shoes i got third time ,super !!! fast shipping always , and now i'm waiting for another custom pair , thanks Nike❤️",20 Δεκ 2021
5,Great shie,20 Δεκ 2021
4,Everything perfect purchase and shipping time,18 Δεκ 2021
5,You are always precise and punctual! I can rely on you both in terms of quality and service offered .... excellent!,18 Δεκ 2021
5,Love ordering off of nike some products are hard to find but nike usually has them!,18 Δεκ 2021
5,Fits exactly. Very stylish.,18 Δεκ 2021
5,Universal shoe,16 Δεκ 2021
5,"The best sneakers out there, they are used for everything… they are very comfortable and combine with all kinds of clothes",16 Δεκ 2021
5,Very nice basketball consistent with the photo in addition sends very fast I recommend,16 Δεκ 2021
5,I was pleased with these shoes I bought my son. He also was happy with them.,15 Δεκ 2021
5,"Arrived very quickly, super satisfied!",15 Δεκ 2021
5,The shoe arrived as scheduled. This product was packaged well and in great new condition. This was a gift that proved to be a favorite. A great buy.,14 Δεκ 2021
5,That’s an amazing pair ! Thx so much Nike !,14 Δεκ 2021
5,"They give quite a size. I was guided by the measurements that it puts but they carve more than what they indicate. I had to return them and buy smaller ones again, but the customer service both by phone since it was my first return, and in the store when making a return of the online purchase of 10. Very satisfactory with the package. It arrived earlier than expected and Nike with very good after-sales service.",13 Δεκ 2021
5,Perfect shoes in excellent condition,13 Δεκ 2021
5,"These shoes are a great Christmas gift, they are true to size, match with most things, and are comfortable!",12 Δεκ 2021
5,"Classic, very nice",12 Δεκ 2021
5,"I found them simply magnificent, they arrived today and I found them very comfortable. The fit is normal so I recommend not to take them one size up or one size down. In terms of design they are not very spectacular, they go with everything and are also very resistant to rain. They can also be used in winter because they keep the foot warm and comfortable. I highly recommend them.",10 Δεκ 2021
5,the basketball you must have,10 Δεκ 2021
5,Classic silhouette a staple in any wardrobe,9 Δεκ 2021
5,Very satisfied,9 Δεκ 2021
5,I ordered them in a Nike store…and they arrived at home after 5 days…perfect!,8 Δεκ 2021
5,yes it is worth,8 Δεκ 2021
5,My child is very satisfied,7 Δεκ 2021
5,Excellent quality and punctuality,6 Δεκ 2021
5,Great shipping. Product condition as described,4 Δεκ 2021
5,Great product and great service,4 Δεκ 2021
5,"Great value for the price. Very comfortable, timeless and compatible with any look.",4 Δεκ 2021
5,Comfortable and lightweight,4 Δεκ 2021
5,"Comfortable fashionable shoe, my son really liked it because it goes with any outfit. The only flaw is that it is made of plastic and not leather because it would be even softer. Recommended shoes.",3 Δεκ 2021
5,Sold out again.. I should have bought a second pair right away. It can't be true ;-D,3 Δεκ 2021
5,"Fast shipping, shoes fit perfectly. They look just like the picture and are very comfortable to wear.",2 Δεκ 2021
5,"My boyfriend loves these shoes, wears them all the time, plus they look immaculate",30 Νοε 2021
5,Very robust and comfortable shoes at the same time.,30 Νοε 2021
5,"Shoes purchased for my son who loves them, finds them comfortable, warm and comfortable. Nike quality can be seen and lasted over time. Super recommended.",29 Νοε 2021
5,Great fit,29 Νοε 2021
5,"Extremely fast delivery. The shoe runs a little big, so order 1/2 - 1 size smaller in my opinion. Extremely comfortable my favorite shoe.",28 Νοε 2021
5,The shoe is a classic. I'm glad I found it in white. The delivery was fast and on time.,28 Νοε 2021
5,Perfect in every detail,28 Νοε 2021
5,These shoes are stylish and can go with almost anything. I recommend getting a pair!,27 Νοε 2021
5,Can’t go wrong with a fresh pair of these! Can drip on the daily.,26 Νοε 2021
5,Fast delivery and nickel sneakers!,26 Νοε 2021
5,Very beautiful but above all very comfortable. Very fast shipping.,24 Νοε 2021
5,"It's the best shoe and it is simple as that. Most durable, comfortable, easy to clean, stylish, timeless, and at a reasonable price point.",23 Νοε 2021
5,Delivered on time in good shape. Order two pairs for my dad he loves them. Thanks Nike,23 Νοε 2021
5,I’m feeling a bit like a menace now,23 Νοε 2021
5,Everything is being expectations.,23 Νοε 2021
5,Excellent product finished very well and above all comfortable,22 Νοε 2021
5,Very nice pair of shoe. Classic.,22 Νοε 2021
5,The look great on my husband!,21 Νοε 2021
3,"Please choose better transport companies, Paack almost kept my package and accepted a false delivery. That if you solved it in a call to Nike.",20 Νοε 2021
5,"Very good. It is a pity that there are products that you ordered and that disappear stolen, I call that. And then the sizes are no longer there. Chic, is that",20 Νοε 2021
5,I sponsor numerous boys and girls clubs/ and after school programs. These along with a bunch of women Jordan lows I bought are part of a Holiday shoe drive I’m a part of. These are always requested. Personally I’m more of a Jordan/ Air Max guy!,19 Νοε 2021
3,"I typically get a size 11.5 from nike but I got my air forces and they're so big, they feel bigger than 12's I swear. I highly recomend trying on in a store if you can or go a .5 size down if you have to.",17 Νοε 2021
5,Good shoe,17 Νοε 2021
5,They might be plan but still great shoes and matches with everything.,16 Νοε 2021
5,as described..fast shipping,16 Νοε 2021
5,Great 👍 condition fast delivery box in good condition 👌 Nike did a great job with my order,15 Νοε 2021
5,"All OK, order arrived on time.",15 Νοε 2021
5,"The AF1 white-on-white low is a wardrobe staple. Classic, minimalist style that arrived in flawless condition.",15 Νοε 2021
5,Shoes as expected,14 Νοε 2021
5,I went to get a fresh pair of White Air Force 1's and they are so fine.,14 Νοε 2021
5,Little to add by now the af1 is a real icon,14 Νοε 2021
5,"very good shoe, very good quality lasts a long time
simple maintenance
size very good take your usual size
goes with any outfit
a very fashionable shoe
I strongly recommend it fast delivery within a few days",14 Νοε 2021
5,"I recommend them 100%, quality and comfort together.",13 Νοε 2021
5,"Good product, quality and fashion combined in a pair of sneakers",13 Νοε 2021
5,I bought these shoes for my son and he loves them. They match with everything and shipping was fast!,10 Νοε 2021
5,I was amazed at the great customer service that was provide by NIKE and the speedy delivery of this item.,10 Νοε 2021
5,Awesome shoe. Stylish and comfortable.,9 Νοε 2021
1,The shoes looked good when I took them out the box. Yesterday was the first day I wore them and the left shoe is already creased near the start of the toe area.,9 Νοε 2021
5,A+++ as usual!,9 Νοε 2021
5,"Thank you for your speed, received faster than expected and they fit exactly the right size. Thanks
Can't judge the durability as my son has only worn them 3 times.",9 Νοε 2021
5,I can always turn to Nike sneakers for a great experience in buying the shoes that I really like at a great price and good selections.,9 Νοε 2021
5,"Beautiful, classic, must have in your sneaker collection",7 Νοε 2021
5,Super comfortable shoes. Nice and fitted to the foot I recommend 👍,5 Νοε 2021
5,Nice for any season of the year,5 Νοε 2021
5,The all time GOAT.. once the current pair is beat up will be ordering a new pair,5 Νοε 2021
5,PERFECT SNEAKERS!!!,4 Νοε 2021
5,Product was flawless. Very Satisfied.,3 Νοε 2021
2,"For the price of these, you would believe that you are purchasing a high quality pair of shoes, it is quite far from it - While you will gain respect for wearing an iconic brand, the issues that quickly arise do not make up for it. They barely last half a year until they begin to fall apart, during rainy periods (common for UK buyers) they do not hold up and will become extremely damp. The",1 Νοε 2021
5,"Fast shipping.

Happy with price and the product.",31 Οκτ 2021
4,"Fix great, love it delivered on time",29 Οκτ 2021
4,These shoes go with literally any outfit and are relatively comfortable. They also add quite a bit of height. I only worry about getting them dirty or scuffed.,27 Οκτ 2021
5,A great sneaker. A classic sneaker. And i loved that they arrived right on time for my planned birthday trip to Puerto Rico. Very much appreciated.,26 Οκτ 2021
5,Nike quality in a shoe that has always been an icon.,25 Οκτ 2021
5,"I bought the show for my fiancé because he wanted matching shoe and wanted this shoe for a while. It fits so perfectly, it lasts for a very long time and most importantly it’s comfortable and we have no retreats. It’s easy to clean and everything! The only thing is trying to find them in stock!",19 Οκτ 2021
5,These shoes were exactly what I wanted and they're so clean. Can't beat the classic whit AF1!,19 Οκτ 2021
2,"Well for starters… the box was bent and my shoes had a ugly crease. We definitely love nike but this delivery was a no go. I had bought because my birthday is coming up and im in town where my mom lives and i got them shipped there. I definitely would buy another pair but these shoes had to be worn to a show in naples and luckily no one seen. But anyways, other than that. Everything was fine.",19 Οκτ 2021
5,The shoe came on time and was in perfect condition,18 Οκτ 2021
5,"I ordered my Nike Air force 1, and they arrived 4 days before the expected date on the website. I'd really like to thank the nike team for their hard work and wish them a great weekend. Best regards Miguel Duarte",15 Οκτ 2021
5,"Af1s in black are the perfect shoe to wear around school, not only are they comfortable but they also… they are very durable my last pair lasted 4 years",12 Οκτ 2021
5,Fit just right,7 Οκτ 2021
5,I am always satisfied with the delivery times and with this article,4 Οκτ 2021
5,I definitely recommend them if you want a shoe to wear relaxed or going to school. They are highly comfortable. If you want to keep them clean wear them on sunny dry days because they get dirty easily if they are white.,3 Οκτ 2021
5,perfect shoes and arrived in record time,3 Οκτ 2021
5,Very comfortable and classic shoe.,2 Οκτ 2021
5,All perfect,2 Οκτ 2021
5,AFI is my fav shoe….,2 Οκτ 2021
5,Like the shoes also good service,2 Οκτ 2021
5,"Nike Air Force 1 '07 men's shoe is currently my favorite shoe!!!
I've been looking for real leather sports shoes for a long time.
Well, finally my choice again for a Nike shoe as so often.
The Nike Air Force 1 is simply a top shoe that goes with everything, it goes well with jeans as well as a tracksuit and the whole thing as a real leather shoe at a reasonable price!
Once again I say thank you “Nike” for my favorite shoe!!!",2 Οκτ 2021
5,Love Air Force one need to be in stock all the time it’s a classic sneaker we love them,1 Οκτ 2021
5,One of the most comfortable shoes is the Air Force 1 in my opinion that’s why I love them. I highly recommend,1 Οκτ 2021
5,"Great product, well received, very good quality, perfectly consistent with the photo.",1 Οκτ 2021
4,Good product but in my opinion with a high cost.,30 Σεπ 2021
5,as always everything great,29 Σεπ 2021
5,Very comfortable and perfect retro look.,29 Σεπ 2021
5,Very pleased with purchase and the quick delivery,29 Σεπ 2021
3,"It is the umpteenth pair of these shoes that I buy for my children. Everyone has a different type of consumption. Medium resistant, however, more could be done at that price.",29 Σεπ 2021
5,Thanks,28 Σεπ 2021
5,"Beautiful shoes, exactly like the picture, comes in time. Just perfect.",28 Σεπ 2021
1,"The quality has dropped drastically.
Extremely poorly glued insole. I already sent the shoe back.",28 Σεπ 2021
5,"Classic, timeless design that never goes out of style. Great quality and comfort. Can't miss and a must have.",28 Σεπ 2021
5,"Comfortable, qualitatively as af1 can be",28 Σεπ 2021
5,All respected. Perfect,27 Σεπ 2021
5,Great shoes! Goes with anything. Comfortable,27 Σεπ 2021
5,Great shoes,26 Σεπ 2021
5,"Absolutely perfect again Nike!! Son really happy with these. Perfect fit, really comfortable, good sturdy shoe. I hope these are around for years to come!!",26 Σεπ 2021
5,"The shoes are beautiful but unobtainable
It was very difficult to find the available number",25 Σεπ 2021
5,"Air Force 1 perfect for every occasion, comfortable and always in fashion
Recommend one size smaller than what you usually wear.",25 Σεπ 2021
5,My son loves these. They are durable and comfortable. They match with everything and work for both casual and formal. I would definitely recommend these.,24 Σεπ 2021
5,Very fast shipping and online app was easy,24 Σεπ 2021
5,These shoes are absolutely worth it. Very comfortable and match with any outfit.,23 Σεπ 2021
5,My son was happy that I ordered these shoes for him because he couldn't find them anywhere and he is starting College and wanted them before he started his first year in college.,23 Σεπ 2021
5,They are my son's favorite shoes and finally after a while we were able to find his size.,22 Σεπ 2021
5,the product is over the top.,21 Σεπ 2021
5,"Very good, very fast shipping.",20 Σεπ 2021
5,My son loves them. This is also his second pair. Nice alternative to sports sneakers.,20 Σεπ 2021
5,Comfortable but not really sturdy,20 Σεπ 2021
5,"Well, you don't need to write much about the shoe. I think almost everyone owns an Air Force 1. A timeless silhouette. You can wear it for any occasion and it is comfortable too. I don't need to say more.",20 Σεπ 2021
5,My son love them right size.,20 Σεπ 2021
5,"As usual, the shoe I’ve worn for 20 years is crispy as ever. Fast shipping times+my favorite product= 5 stars all day!!",19 Σεπ 2021
5,They came in good shape they got here quicker than expected and they are super nice,18 Σεπ 2021
